fullName,htmlUrl,apiUrl,description,language,stars,forks,archived,updatedAt,topics,searchQuery,pageStatus,pageVisitedAt,pageError
"sourcefuse/arc-react-sass-ui","https://github.com/sourcefuse/arc-react-sass-ui","https://api.github.com/repos/sourcefuse/arc-react-sass-ui","Production-ready React boilerplate and Super Admin Control Plane for scalable multi-tenant SaaS applications. Features comprehensive tenant management, flexible authentication integration, subscription plans, billing controls. Built with TypeScript, Material-UI, and Vite.","TypeScript","5","2","false","2026-03-05T18:19:59Z","boilerplate|multi-tenancy|multi-tenant|multi-tenant-applications|react|react-saas-applications|react-sass|sass|sourcefuse|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:53.071Z",""
"susumutomita/TenkaCloud","https://github.com/susumutomita/TenkaCloud","https://api.github.com/repos/susumutomita/TenkaCloud","The open-source platform for running real cloud competitions on real AWS accounts. Battle (real-time) and Challenge (self-paced) problems deployed straight to each competitor's own AWS account — multi-tenant SaaS infrastructure included.","TypeScript","5","2","false","2026-08-13T07:08:51Z","aws|azure|gameday|google|platform|sakura-cloud","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.970Z",""
"techleadevelopers/next-agents-pro-sass","https://github.com/techleadevelopers/next-agents-pro-sass","https://api.github.com/repos/techleadevelopers/next-agents-pro-sass","HyperAgents IA Engine — Plataforma SaaS Modular e Multi-Tenant para Criação, Gestão e Automação de HyperAgents Inteligentes com Integração Avançada via WhatsApp.  NextAgent-Pro é um sistema SaaS Clean Architecture de alto desempenho, preparado para ambientes Multi-Tenant e operações autossustentáveis com IA local.  Backend escalável em NestJS ","TypeScript","5","1","false","2026-04-24T06:02:21Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:54.143Z",""
"ShariarMahmudSaif/cms-saas-platform","https://github.com/ShariarMahmudSaif/cms-saas-platform","https://api.github.com/repos/ShariarMahmudSaif/cms-saas-platform","Production-grade, multi-tenant CMS SaaS platform built with microservices architecture. 15 Fastify services, React admin dashboard, PostgreSQL, Redis, Elasticsearch, S3, Kafka. Includes block editor, media library, AI content generation, workflow engine, plugin system, feature flags, analytics, and full audit trail.","TypeScript","5","0","false","2026-06-17T19:47:01Z","ai|api-gateway|block-editor|cms|content-management|docker|elasticsearch|fastify|headless-cms|kubernetes|microservices|monorepo|multi-tenant|nodejs|postgresql|react|redis|saas|turborepo|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:53.971Z",""
"dipo0x/Invoice-platform","https://github.com/dipo0x/Invoice-platform","https://api.github.com/repos/dipo0x/Invoice-platform","A multi-tenant SaaS API for creating invoices, collecting payments via Stripe, automating recurring billing, and delivering webhook notifications, built with reliability patterns used by Stripe, GitHub, and Twilio.","TypeScript","5","0","false","2026-04-30T11:42:28Z","bullmq|docker|grafana|k6|opentelemetry|redis|typescript|vitest","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:53.937Z",""
"moasadi/ddd-bun-api-boilerplate","https://github.com/moasadi/ddd-bun-api-boilerplate","https://api.github.com/repos/moasadi/ddd-bun-api-boilerplate","Production-ready multi-tenant SaaS API boilerplate built with Bun.js, TypeScript, DDD, and Clean Architecture. Features RBAC, Firebase Auth, Swagger docs, and 8 Claude Code   AI skills for rapid development.","TypeScript","5","1","false","2026-06-12T21:16:41Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:53.907Z",""
"aozoragh/ai-saas-boilerplate","https://github.com/aozoragh/ai-saas-boilerplate","https://api.github.com/repos/aozoragh/ai-saas-boilerplate","An AI SaaS app builder: launch branded, credit-metered AI apps from a dashboard and export each as its own GitHub repo + Vercel deploy.","TypeScript","5","2","false","2026-07-29T07:59:21Z","ai|ai-saas|boilerplate|credit-system|generative-ai|multi-tenant|nextauth|nextjs|postgresql|prisma|react|saas|saas-boilerplate|saas-starter|stripe","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:53.941Z",""
"aarizah/AI-Enterprise-Knowledge-Assistant","https://github.com/aarizah/AI-Enterprise-Knowledge-Assistant","https://api.github.com/repos/aarizah/AI-Enterprise-Knowledge-Assistant","An AI assistant for enterprises that connects internal documents and answers with verifiable citations, safe “no-answer” fallback, and action execution (tickets, emails, CRM). Built as a multi-tenant micro-SaaS with SSO and usage metrics.","TypeScript","5","1","false","2026-08-10T15:32:02Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:54.030Z",""
"khalidkhankakar/shoper","https://github.com/khalidkhankakar/shoper","https://api.github.com/repos/khalidkhankakar/shoper","Shoper is a modern, scalable, and customizable multi-tenant eCommerce platform built with Next.js 15, designed to let multiple businesses manage their own storefronts under a single codebase. Perfect for SaaS-style marketplaces, vendor platforms, or shop hosting services.","TypeScript","5","1","false","2025-10-28T09:49:44Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:53.827Z",""
"PrajapatiRoshan/project-management","https://github.com/PrajapatiRoshan/project-management","https://api.github.com/repos/PrajapatiRoshan/project-management","Monkey is a scalable multi-tenant project management SaaS app built with the MERN stack. It features workspace, project, and task management with role-based access, analytics, filters, and Google Sign-In—designed for real-world B2B collaboration and team productivity.","TypeScript","5","1","false","2026-07-26T16:42:17Z","express-js|full-stack|full-stack-web-development|fullstack-developer|fullstack-development|fullstack-javascript|mern-crud|mern-project|mern-stack|mern-stack-app|mern-stack-development|mern-stack-project|mongodb|monkey|nodejs|project-management|reactjs","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:53.885Z",""
"mangeshraut712/Gravity-SaaS-Agent","https://github.com/mangeshraut712/Gravity-SaaS-Agent","https://api.github.com/repos/mangeshraut712/Gravity-SaaS-Agent","Multi-tenant SaaS AI agent platform: MCP, WhatsApp, billing — Next.js + TypeScript","TypeScript","4","3","false","2026-08-10T01:52:12Z","ai-agents|billing|mcp|multi-tenant|nextjs|saas|typescript|whatsapp","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:55.085Z",""
"jjjjijiji/test5","https://github.com/jjjjijiji/test5","https://api.github.com/repos/jjjjijiji/test5","Multi tenant SaaS starter kit with cqrs graphql microservice architecture, apollo federation, event source and authentication","TypeScript","4","3","false","2024-07-31T02:05:18Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:54.927Z",""
"bahdman4lyf/multi-tenant-saas-api","https://github.com/bahdman4lyf/multi-tenant-saas-api","https://api.github.com/repos/bahdman4lyf/multi-tenant-saas-api","","TypeScript","4","0","false","2026-04-24T11:03:09Z","nodejs|postgresql|prisma|redis|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:54.755Z",""
"shrirajnaik04/saas-chatbot","https://github.com/shrirajnaik04/saas-chatbot","https://api.github.com/repos/shrirajnaik04/saas-chatbot","Multi-tenant plug-and-play RAG chatbot with admin/client portals, Together.ai, and ChromaDB.","TypeScript","4","0","false","2026-04-03T11:17:10Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:54.809Z",""
"heisenberg-611/Cutline_Business_Manager","https://github.com/heisenberg-611/Cutline_Business_Manager","https://api.github.com/repos/heisenberg-611/Cutline_Business_Manager","A highly optimized, multi-tenant B2B SaaS business management platform for creative agencies.","TypeScript","4","1","false","2026-08-11T16:11:37Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:54.822Z",""
"diogoazevedoo/next-saas-rbac","https://github.com/diogoazevedoo/next-saas-rbac","https://api.github.com/repos/diogoazevedoo/next-saas-rbac","Boilerplate to setup a multi-tenant SaaS with Next.js (v15) including authentication and RBAC authorization.","TypeScript","4","0","false","2026-04-05T01:08:51Z","nextjs|nodejs|prisma|rbac|shadcn-ui|tailwindcss|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:54.589Z",""
"AbdullahNaseemAbbasi/nexora","https://github.com/AbdullahNaseemAbbasi/nexora","https://api.github.com/repos/AbdullahNaseemAbbasi/nexora","AI-Powered Multi-Tenant SaaS Platform - Real-time collaboration, Kanban boards, AI task generation, team management","TypeScript","4","0","false","2026-08-04T18:05:38Z","ai|docker|docker-container|groq-ai|groq-integration|nestjs-backend|nextjs|postgresql|prisma|project-management-system|redis|saas|saas-platform|socket-io|socketio|supabase-db|supabase-storage|tailwind-css|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:54.638Z",""
"outpost-software/stoker","https://github.com/outpost-software/stoker","https://api.github.com/repos/outpost-software/stoker","Build realtime, offline-ready internal tools. Optionally ship them as highly scalable, multi-tenant SaaS products.","TypeScript","4","0","false","2026-08-13T04:53:25Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:54.644Z",""
"Lexmata/nestjs-multi-tenancy","https://github.com/Lexmata/nestjs-multi-tenancy","https://api.github.com/repos/Lexmata/nestjs-multi-tenancy","A flexible NestJS module for building multi-tenant SaaS applications. Supports multiple tenant identification strategies with seamless context management.","TypeScript","4","0","false","2026-06-25T14:05:23Z","middleware|multi-tenant|multitenancy|nestjs|nestjs-module|nodejs|saas|tenant|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:55.932Z",""
"abdulrehmankz1/clinic-management","https://github.com/abdulrehmankz1/clinic-management","https://api.github.com/repos/abdulrehmankz1/clinic-management","Multi-tenant clinic management SaaS for small clinics. Staff, patients, appointments, walk-ins, scheduling, and strict tenant isolation built with Payload CMS, Next.js, and MongoDB.","TypeScript","4","1","false","2026-07-23T00:29:40Z","appointment-booking|appointment-scheduling|clinic-management|emr|full-stack|healthcare|hospital-management|mongodb|multi-tenant|nextjs|payload|payloadcms|queue-management|react|saas|shadcn-ui|tailwindcss|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:55.616Z",""
"Arnoldsteve/artisan-base","https://github.com/Arnoldsteve/artisan-base","https://api.github.com/repos/Arnoldsteve/artisan-base","Multi-tenant e-commerce SaaS platform built with Next.js, React, and NestJS. Features include storefront, admin dashboard, invoicing, payments (Stripe, PayPal, M-Pesa), and multi-currency support.","TypeScript","4","0","false","2026-03-24T08:47:19Z","ecommerce|ecommerce-platform|invoicing|mpesa|multi-tenant|nestjs|nextjs|payments|paypal|prisma|react|saas|stripe|supabase","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:55.743Z",""
"SimplerDevelopment/SimplerDevelopment","https://github.com/SimplerDevelopment/SimplerDevelopment","https://api.github.com/repos/SimplerDevelopment/SimplerDevelopment","Open-source multi-tenant SaaS platform: admin + client portal + per-tenant sites + CRM + Company Brain (AI/RAG) + automations + Google Workspace + Stripe billing. Next.js 16, React 19, Drizzle/Postgres. Self-host or managed hosting.","TypeScript","4","0","false","2026-08-13T00:19:57Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:56.082Z",""
"sabledattatray/Nexdial_Temp","https://github.com/sabledattatray/Nexdial_Temp","https://api.github.com/repos/sabledattatray/Nexdial_Temp","NexDial AI is an enterprise-grade AI-powered omnichannel dialer platform built with Next.js, WebRTC, Asterisk, and AI automation. Features include predictive dialing, click-to-call, WhatsApp integration, CRM, real-time analytics, AI call summaries, campaign management, and SaaS multi-tenant architecture.","TypeScript","4","1","false","2026-07-06T18:17:34Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:55.692Z",""
"multitenantkit/multitenantkit","https://github.com/multitenantkit/multitenantkit","https://api.github.com/repos/multitenantkit/multitenantkit","MultiTenantKit is a production-ready TypeScript toolkit that provides the business logic for managing Users, Organizations, and Organization Memberships in B2B SaaS applications.","TypeScript","4","1","false","2026-08-08T00:35:19Z","javascript|membership-management|multi-tenant|multitenancy|multitenant|nodejs|organizations|saas|sdk|team-management|teams|typescript|users","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:55.625Z",""
"vxssroott/Rocdwels-AI","https://github.com/vxssroott/Rocdwels-AI","https://api.github.com/repos/vxssroott/Rocdwels-AI","Axiom is an intelligent, modular ERP platform that empowers businesses to manage their entire operation from one secure workspace. Built as a multi-tenant SaaS solution, it combines powerful business modules, flexible role management, real-time analytics, and scalable architecture into a platform that grows with every organization...","TypeScript","4","1","false","2026-08-10T21:19:35Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:55.598Z",""
"Aadarsh-guru/Create-Portfolio","https://github.com/Aadarsh-guru/Create-Portfolio","https://api.github.com/repos/Aadarsh-guru/Create-Portfolio","Create Portfolio is a multi-tenant SAAS platform that allows users to create their SEO-friendly portfolio websites for free. users can create their portfolio website with ease and host it on their custom domain, the platform offers full customizations, and a responsive user interface, along with rich features like custom domain and branding.","TypeScript","4","0","false","2026-01-29T10:17:30Z","github|nextjs|nodesjs|open-source|postgresql|prisma-orm|reactjs|redis|shadcn-ui|tailwindcss|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:55.696Z",""
"inematds/pet360","https://github.com/inematds/pet360","https://api.github.com/repos/inematds/pet360","SaaS open source e multi-tenant para clínicas vet, pet shops, hotéis e ONGs","TypeScript","3","10","false","2026-07-16T04:21:16Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:56.897Z",""
"Nebutra/Nebutra-Sailor","https://github.com/Nebutra/Nebutra-Sailor","https://api.github.com/repos/Nebutra/Nebutra-Sailor","Enterprise-grade SaaS monorepo for AI-native, multi-tenant platforms","TypeScript","3","3","false","2026-08-13T07:23:22Z","ai-native|hono|monorepo|multi-tenant|nextjs|prisma|react|saas|supabase|tailwindcss|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:56.700Z",""
"HamedBahram/multi-tenant-saas","https://github.com/HamedBahram/multi-tenant-saas","https://api.github.com/repos/HamedBahram/multi-tenant-saas","","TypeScript","3","0","false","2026-01-25T03:41:55Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:56.702Z",""
"Possanii/MultiTenant-Nextjs","https://github.com/Possanii/MultiTenant-Nextjs","https://api.github.com/repos/Possanii/MultiTenant-Nextjs","This project is a Next.js boilerplate for building multi-tenant SaaS applications with integrated authentication and Role-Based Access Control (RBAC). It includes features for managing organizations, inviting and managing members, handling projects, and detailed billing, all with secure, role-based permissions.","TypeScript","3","0","false","2026-03-30T23:32:46Z","docker|docker-compose|fastify|monorepo|nextjs|rbac|saas","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:56.571Z",""
"Gacruxweb/Human-Resource-Management","https://github.com/Gacruxweb/Human-Resource-Management","https://api.github.com/repos/Gacruxweb/Human-Resource-Management","HR Pro is a modern Workforce Management Platform featuring automated payroll processing, real-time shift swaps, and AI-assisted HR support","TypeScript","2","0","false","2026-06-29T07:35:10Z","ai|aiassistant|gemini-api|hrms|hrms-app|hrms-project|hrms-project-backend|payroll-management-system|reactjs|tailwindcss|typescript|vitejs|workflow-automation","workforce payroll shifts language:TypeScript","200","2026-08-13T07:49:56.621Z",""
"sarbzcode/ShyftSync","https://github.com/sarbzcode/ShyftSync","https://api.github.com/repos/sarbzcode/ShyftSync","ShyftSync is a workforce management suite for attendance tracking, shift scheduling, and payroll automation. The repo ships with a FastAPI backend, a React admin web app, and an Expo mobile app for employees.","TypeScript","1","0","false","2026-02-25T15:50:25Z","","workforce payroll shifts language:TypeScript","200","2026-08-13T07:49:56.937Z",""
"deepakgudi-pixel/shiftsync","https://github.com/deepakgudi-pixel/shiftsync","https://api.github.com/repos/deepakgudi-pixel/shiftsync","Full-stack frontline workforce management platform. Scheduling, Attendance, Payroll & Real-time Communications. ","TypeScript","0","0","false","2026-06-16T11:41:35Z","","workforce payroll shifts language:TypeScript","200","2026-08-13T07:49:56.765Z",""
"ddvir171/eztime_payroll_poc","https://github.com/ddvir171/eztime_payroll_poc","https://api.github.com/repos/ddvir171/eztime_payroll_poc","EZTIME Payroll POC – Workforce Management and Payroll Calculation System for Employee Shifts, Overtime Analysis, Salary Forecasting and API Integration.","TypeScript","0","0","false","2026-06-25T15:44:32Z","","workforce payroll shifts language:TypeScript","200","2026-08-13T07:49:56.625Z",""
"wpalish/turnstile","https://github.com/wpalish/turnstile","https://api.github.com/repos/wpalish/turnstile","⏱ Enterprise workforce management — attendance, shift scheduling & payroll for 500+ employees","TypeScript","0","0","false","2026-06-09T17:13:05Z","attendance|enterprise|express|hr-management|nodejs|postgresql|prisma|react|rest-api|typescript","workforce payroll shifts language:TypeScript","200","2026-08-13T07:49:57.449Z",""
"Gurjaspartap/malwaworkforce","https://github.com/Gurjaspartap/malwaworkforce","https://api.github.com/repos/Gurjaspartap/malwaworkforce","Modern workforce management platform for employee attendance, shift scheduling, time tracking, and payroll insights.","TypeScript","0","0","false","2026-07-01T13:13:52Z","","workforce payroll shifts language:TypeScript","200","2026-08-13T07:49:57.588Z",""
"abhiraj-kingpin/AI-MANAGEMENT-SYSTEM","https://github.com/abhiraj-kingpin/AI-MANAGEMENT-SYSTEM","https://api.github.com/repos/abhiraj-kingpin/AI-MANAGEMENT-SYSTEM","AI Management System is a workforce management platform for companies to track employees, attendance, leave, shifts, and payroll in one place. Employees can check in using GPS location, a QR code, or face recognition — even offline, with automatic sync once they're back online. Built with Node.js/Express/MongoDB on the backend, a React admin dashbo","TypeScript","0","0","false","2026-08-09T19:07:49Z","","workforce payroll shifts language:TypeScript","200","2026-08-13T07:49:57.608Z",""
"logto-io/logto","https://github.com/logto-io/logto","https://api.github.com/repos/logto-io/logto","🧑‍🚀 Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.","TypeScript","14338","1161","false","2026-08-13T07:24:43Z","authentication|authorization|email|identity|jwt|login|logto|mfa|oauth2|openid-connect|password|passwordless|rbac|saml|signup|sms|social-login|sso|totp|typescript","typescript saas authorization rbac","200","2026-08-13T07:49:57.459Z",""
"zenstackhq/zenstack","https://github.com/zenstackhq/zenstack","https://api.github.com/repos/zenstackhq/zenstack","Modern data layer for TypeScript apps - type-safe ORM, built-in access control, automatic query services","TypeScript","2926","149","false","2026-08-11T10:23:33Z","access-control|acl|ai-friendly|api|auth|authorization|authz|fullstack|javascript|nextjs|node|openapi|orm|permission|prisma|rbac|rls|saas|schema","typescript saas authorization rbac","200","2026-08-13T07:49:57.353Z",""
"rcmonteiro/next-saas-rbac","https://github.com/rcmonteiro/next-saas-rbac","https://api.github.com/repos/rcmonteiro/next-saas-rbac","Full Stack application using back-end with nodejs/fastify and front-end with reactjs/nextjs, with CASL for RBAC and ABAC authorization, keeping the code clean based on DDD + Clean Architecture","TypeScript","4","1","false","2026-07-01T00:14:22Z","casl|fastify|interception-routes|next15|nodejs|parallel-routes|react19|shadcn-ui|turborepo|typescript","typescript saas authorization rbac","200","2026-08-13T07:49:57.479Z",""
"nik2208/awesome-node-auth","https://github.com/nik2208/awesome-node-auth","https://api.github.com/repos/nik2208/awesome-node-auth","The Sovereign Identity & Communication Layer for Node.js. Scalable by design. No SaaS/DB lock-in. MCP Server for auto-config in IDE, Hybrid Web/Mobile Auth, Dynamic in/out Webhooks via decorators, JWT/Api-Key, custom JWT Payload, RBAC/Metadata, Admin UI, served full-featured customizable Auth UI, SSE/tracking via AuthEventBus","TypeScript","4","0","false","2026-07-21T14:16:11Z","2fa|ai-assisted-configuration|api-key-management|authentication|authorization|backend-framework|express|frontend-library|jwt|mcp|multi-tenancy|nestjs|nextjs|node|rbac|rbac-management|self-hosted|sovereign-tech|typescript|webhook-handler","typescript saas authorization rbac","200","2026-08-13T07:49:57.782Z",""
"bgfgug/Saas-auth-platform","https://github.com/bgfgug/Saas-auth-platform","https://api.github.com/repos/bgfgug/Saas-auth-platform","Full-stack SaaS Authentication & Authorization platform — Express + TypeScript + Prisma + PostgreSQL backend with JWT, RBAC, OTP, audit logging & React 19 + Vite + TailwindCSS frontend.","TypeScript","1","0","false","2026-02-12T09:22:55Z","","typescript saas authorization rbac","200","2026-08-13T07:49:57.460Z",""
"bymaxone/rust-auth","https://github.com/bymaxone/rust-auth","https://api.github.com/repos/bymaxone/rust-auth","Full-stack authentication library for Rust (Axum 0.8), React 19 & Next.js 16 — JWT, MFA, OAuth, sessions, multi-tenant SaaS ready. Pure-Rust crypto with WebAssembly edge verification.","Rust","1","1","false","2026-08-11T10:36:02Z","authentication|authorization|axum|jwt|mfa|multi-tenant|nextjs|oauth|rbac|react|redis|rust|saas|session-management|totp|typescript|webassembly","typescript saas authorization rbac","200","2026-08-13T07:49:58.983Z",""
"fsmaiorano/next-saas-rbac","https://github.com/fsmaiorano/next-saas-rbac","https://api.github.com/repos/fsmaiorano/next-saas-rbac","🍵 A multi-tenant SaaS with Next.js including authentication and RBAC authorization.","TypeScript","0","1","false","2024-06-10T13:28:14Z","bcryptjs|casl-permission|fastify|nextjs|nodejs|prisma-orm|turborepo|typescript|zod","typescript saas authorization rbac","200","2026-08-13T07:49:58.438Z",""
"MarcosRene/next-saas-rbca","https://github.com/MarcosRene/next-saas-rbca","https://api.github.com/repos/MarcosRene/next-saas-rbca","This project contains all the necessary boilerplate to setup a multi-tenant SaaS with Next.js including authentication and RBAC authorization.","TypeScript","0","0","false","2025-01-03T17:41:51Z","casl|eslint|fastify|multi-tenant|nexjs14|nodejs|rbac|saas|turbo|turborepo|typescript","typescript saas authorization rbac","200","2026-08-13T07:49:58.676Z",""
"rgomids/nexus-platform","https://github.com/rgomids/nexus-platform","https://api.github.com/repos/rgomids/nexus-platform","Multi-tenant SaaS platform built with TypeScript using modular monolith, RBAC and clean architecture principles. Focused on access control, tenant isolation and auditability.","TypeScript","0","0","false","2026-03-29T19:02:57Z","audit-log|authentication|authorization|backend|clean-architecture|modular-monolith|multi-tenant|node|postgresql|rbac|saas|software-architecture|typescript","typescript saas authorization rbac","200","2026-08-13T07:49:58.239Z",""
"rameshsingh424/multi-tenant-saas-api","https://github.com/rameshsingh424/multi-tenant-saas-api","https://api.github.com/repos/rameshsingh424/multi-tenant-saas-api","Reference architecture for a secure multi-tenant SaaS API using NestJS, PostgreSQL, Prisma, JWT, RBAC, Docker and Swagger.","","0","0","false","2026-07-14T05:29:58Z","authentication|authorization|backend-architecture|docker|jwt|multi-tenant|nestjs|nodejs|postgresql|prisma|rbac|rest-api|saas|swagger|typescript","typescript saas authorization rbac","200","2026-08-13T07:49:58.601Z",""
"Roudolph1010/SaaS-Dashboard-Starter","https://github.com/Roudolph1010/SaaS-Dashboard-Starter","https://api.github.com/repos/Roudolph1010/SaaS-Dashboard-Starter","A full-featured SaaS/admin dashboard template built on Next.js (App Router) with Prisma + MySQL. It includes auth + authorization (RBAC + granular permissions), user management, content/media modules, subscriptions, email templates/logs, real-time notifications, settings, and analytics.","TypeScript","0","0","false","2026-03-05T17:57:05Z","mysql|nextauth|nextjs|nodemailer|permissions|prisma|radix-ui|recharts|shadcn-ui|stripe|tiptap|typescript|zustand","typescript saas authorization rbac","200","2026-08-13T07:49:58.323Z",""
"DhananjayaYapa/TrellX-Saas_Software_Node_Express_Postgre_Prisma_TS","https://github.com/DhananjayaYapa/TrellX-Saas_Software_Node_Express_Postgre_Prisma_TS","https://api.github.com/repos/DhananjayaYapa/TrellX-Saas_Software_Node_Express_Postgre_Prisma_TS","SaaS-style Project Management Backend built with Node.js, Express, TypeScript, PostgreSQL, and Prisma. Features JWT authentication (access & refresh tokens), role-based authorization (RBAC), and secure REST APIs for managing projects, tasks, members, and comments. Designed with industry-grade architecture and best practices.","","0","0","false","2026-02-25T09:05:41Z","","typescript saas authorization rbac","200","2026-08-13T07:49:58.410Z",""
"aguswirajati/nextjs-multi-branch-boilerplate","https://github.com/aguswirajati/nextjs-multi-branch-boilerplate","https://api.github.com/repos/aguswirajati/nextjs-multi-branch-boilerplate","Production-ready Next.js 16 boilerplate for multi-branch SaaS. Enterprise RBAC, audit logging, real-time updates, and hierarchical organization management. Built with React 19, Tailwind 4, Prisma, Supabase.","TypeScript","0","0","false","2025-11-26T15:57:10Z","authorization|boilerplate|enterprise|multi-branch|nextjs|nextjs16|prisma|rbac|react|react19|saas|starter-template|supabase|tailwindcss|typescript","typescript saas authorization rbac","200","2026-08-13T07:49:58.448Z",""
"bymaxone/nest-auth","https://github.com/bymaxone/nest-auth","https://api.github.com/repos/bymaxone/nest-auth","Full-stack authentication library for NestJS 11, React 19 & Next.js 16 — JWT, MFA, OAuth, sessions, multi-tenant SaaS ready. Zero external crypto dependencies.","TypeScript","0","0","false","2026-08-12T20:22:54Z","authentication|authorization|jwt|mfa|multi-tenant|nestjs|nextjs|oauth|rbac|react|saas|session-management|totp|typescript","typescript saas authorization rbac","200","2026-08-13T07:49:59.893Z",""
"ai-to-ai/Stay-Slack-Active","https://github.com/ai-to-ai/Stay-Slack-Active","https://api.github.com/repos/ai-to-ai/Stay-Slack-Active","Stay Slack Active for free with Chrome Edge Extension.  Slack Bot for developers and employees can stay active on slack without being in front of PC. You can leave your PC scheduling your online hours and break time so that your boss won't blame you ","","7","0","false","2024-07-03T03:03:52Z","chrome-extension|developer-tools|extension|extension-chrome|extension-edge|javascript|node|nodejs|slack|slack-bot|slackbot|stay-home|stay-slack-active|stayhome|typescript|vue","nodejs employee scheduling","200","2026-08-13T07:49:59.614Z",""
"yomiAdenaike01/scheme_app","https://github.com/yomiAdenaike01/scheme_app","https://api.github.com/repos/yomiAdenaike01/scheme_app","A scheduling web application developed in vue.js to aid small business track their events and their employees shifts. Built with vue.js","Vue","3","0","false","2023-11-02T23:16:52Z","nodejs|scheme|vuejs","nodejs employee scheduling","200","2026-08-13T07:49:59.490Z",""
"MiguelCardoso19/noona-slot-master","https://github.com/MiguelCardoso19/noona-slot-master","https://api.github.com/repos/MiguelCardoso19/noona-slot-master","Automated booking assistant for the Noona platform. Finds and books appointment slots based on your preferences (company, employee, service, day/time, and booking frequency).","JavaScript","2","0","false","2025-09-08T11:14:16Z","amazon-web-services|appointment|automation|aws|aws-cloudwatch|aws-eventbridge|aws-lambda|bot|nodejs|noona|scheduling","nodejs employee scheduling","200","2026-08-13T07:49:59.663Z",""
"vaish2001/Email-Project","https://github.com/vaish2001/Email-Project","https://api.github.com/repos/vaish2001/Email-Project","The main purpose of this module is to provide all the functionality related to Bulk Email sender. I am Developing all type of CRUD (Create, Read, Update and Delete) operations of the Email saved in Database also this module contains the scheduler to schedule mails to the sender which has been developed on  NodeJS, VueJS, Mongo  Features of Employee Module:  • can add new email records  • can see the list of emails details  • can schedule the list of emails on any time to sender  • can edit and update the record of the emails  • will be able to delete the records of the emails  • All forms are validated on client side using JavaScript  • Also add group creation for mass emails sending  Pages :   Login For Admin   Dashboard   Adding New records   Edit the Exiting records   Delete the Exiting records   View details of the records   Listing of all records   Group creation   Group Edit, delete   Email Schedule","JavaScript","2","0","false","2024-06-06T15:37:00Z","","nodejs employee scheduling","200","2026-08-13T07:49:59.441Z",""
"JakeJohnson05/workScheduler","https://github.com/JakeJohnson05/workScheduler","https://api.github.com/repos/JakeJohnson05/workScheduler","Create a work schedule! Easily manage employee restrictions and shift requirements.","JavaScript","1","0","false","2024-03-03T01:50:35Z","expressjs|javascript|nodejs|scheduler","nodejs employee scheduling","200","2026-08-13T07:49:59.607Z",""
"AdiSinghCodes/Boleto-Connect","https://github.com/AdiSinghCodes/Boleto-Connect","https://api.github.com/repos/AdiSinghCodes/Boleto-Connect","Boleto-Connect is an employee management software for Boleto Vadapav, enabling employees to log in, submit work schedules, and track tasks, while the boss can manage schedules, assign tasks, and process salaries efficiently.","JavaScript","1","0","false","2025-08-16T19:30:26Z","css|express|html|javascript|nodejs|postgresql|reactjs","nodejs employee scheduling","200","2026-08-13T07:49:59.618Z",""
"SamanPradhan/TimeTrackerX","https://github.com/SamanPradhan/TimeTrackerX","https://api.github.com/repos/SamanPradhan/TimeTrackerX","This is a employee management application which is used for trackking employee data, their work schedules, projects are they working, the meeting they are doing, etc. ","CSS","1","0","false","2023-04-07T07:09:02Z","css3|html|mongodb-atlas|nodejs|nodejs-modules|timetrackingapp|vanilla-javascript","nodejs employee scheduling","200","2026-08-13T07:49:59.525Z",""
